psraid,state,density,pew1f,pew2,pew2os,pew3a,pew3b,pew3c,pew3d,pew4,pew5,pew6,pew7,par2,pew8,pew9,pew10,sex,age,recage,educ,receduc,hisp,race,racethn,inc,income,party,partyln,weight
100001,48,4,2,4, ,1,1,2,3,1,1,1,2,2,2,3,2,1,22,1,5,3,2,1,1,8,4,2, ,2.142857143
100010,37,3,1,1, ,1,3,1,1,2,2,2,1,2,2,2,1,2,69,6,3,2,2,1,1,3,1,1, ,1.714285714
100016,18,1,9,4, ,2,2,2,1,2,2,2,1,1,2,2,1,1,44,3,5,3,2,1,1,3,1,4,9,1.619047619
100017,54,2,4,2, ,2,3,3,3,4,9,2,1,1,2,2,1,2,40,3,3,2,2,1,1,4,2,2, ,5
100019,47,4,1,9, ,2,2,2,2,2,1,2,9,2,1,2,9,1,79,6,5,3,2,2,2,99,9,2, ,5.19047619
100022,29,3,1,1, ,2,2,3,1,2,1,2,2,2,1,2,9,2,70,6,7,4,2,1,1,4,2,2, ,1
100023,37,2,1,1, ,2,3,2,1,3,1,2,1,2,2,3,1,2,20,1,4,2,2,2,2,4,2,2, ,2.428571429
100031,29,1,1,2, ,1,3,3,9,3,2,2,9,2,1,1,1,2,85,6,3,2,2,1,1,1,1,3,2,2.380952381
100037,18,3,2,4, ,1,2,1,1,1,2,1,1,2,1,2,1,2,77,6,4,2,2,1,1,99,9,3,1,1.333333333
100044,29,2,3,2, ,1,2,2,3,2,1,2,2,2,1,1,1,2,53,4,6,4,2,1,1,4,2,2, ,1.19047619
100045,25,4,2,2, ,2,2,3,2,2,9,1,2,2,1,2,2,2,69,6,5,3,2,1,1,4,2,3,9,1.761904762
100048,42,1,2,2, ,2,3,3,3,3,9,1,9,2,2,2,2,2,19,1,5,3,2,1,1,3,1,3,2,1.904761905
100052,22,1,1,2, ,2,3,3,1,4,2,2,1,2,2,3,1,2,54,4,5,3,2,1,1,6,3,2, ,1.904761905
100059,27,1,3,8,THE OF BRET FARVE TO THE MINNESOTA VIKINGS,2,3,1,1,2,9,1,2,1,1,1,9,2,38,3,5,3,2,1,1,6,3,1, ,2.238095238
100061,48,3,3,8,VET MEMORIAL CENTER IN TEXAS,2,3,3,1,3,9,2,3,2,2,2,1,1,62,5,3,2,1,4,3,2,1,2, ,4.80952381
100067,13,2,1,6, ,1,2,2,2,2,1,2,3,2,2,1,2,2,61,5,7,4,2,1,1,8,4,2, ,1
100088,29,1,1,6, ,1,3,3,2,4,9,2,1,2,2,1,1,2,58,5,3,2,2,1,1,5,2,3,1,1.047619048
100089,27,1,1,6, ,2,3,2,2,4,1,2,2,2,2,2,2,2,60,5,3,2,2,1,1,2,1,3,2,1.047619048
100092,42,4,1,1, ,1,2,3,2,2,1,2,2,2,1,3,2,1,68,6,3,2,1,1,3,5,2,2, ,8.619047619
100107,28,2,1,2, ,1,2,1,1,1,2,2,1,2,2,3,2,1,53,4,5,3,2,2,2,2,1,2, ,1.904761905
100113,12,2,1,5, ,1,2,2,1,3,2,2,1,2,2,2,1,2,84,6,2,1,2,1,1,1,1,1, ,2.571428571
100120,26,1,2,2, ,1,3,3,1,3,9,1,2,2,1,2,9,1,43,3,6,4,2,1,1,8,4,4,9,1.380952381
100128,36,3,3,3, ,3,3,2,3,2,9,1,2,2,2,3,1,2,99,9,6,4,2,1,1,6,3,1, ,1.904761905
100130,19,1,3,9, ,1,1,3,1,4,2,2,9,2,2,3,1,2,79,6,5,3,2,1,1,2,1,1, ,1
100139,18,3,1,9, ,1,9,3,1,2,9,1,2,2,2,3,2,1,62,5,7,4,2,1,1,6,3,2, ,1.523809524
100140,39,3,1,4, ,2,2,3,2,3,9,2,2,1,1,9,2,1,53,4,5,3,2,1,1,6,3,2, ,1.619047619
100142,18,1,4,9, ,2,3,3,2,3,2,2,9,1,1,2,1,2,57,5,3,2,2,1,1,7,4,3,9,1.619047619
100146,55,2,2,4, ,1,1,3,2,2,1,1,2,2,1,2,2,2,62,5,5,3,2,1,1,6,3,3,9,1.476190476
100151,27,2,3,4, ,2,3,3,2,4,1,2,2,2,2,1,2,2,24,1,6,4,2,1,1,6,3,2, ,1.142857143
100158,47,2,2,2, ,1,2,3,2,4,9,1,2,2,2,2,1,1,68,6,7,4,2,2,2,1,1,4,9,3.571428571
100165,37,3,3,1, ,2,3,3,1,2,1,1,2,1,1,3,2,2,37,3,6,4,2,2,2,5,2,2, ,2.857142857
100167,55,2,1,2, ,2,2,3,1,4,2,2,1,2,1,2,1,2,55,5,3,2,2,1,1,7,4,1, ,1.80952381
100170,22,1,1,1, ,1,3,3,1,2,2,2,1,2,1,2,1,2,56,5,7,4,2,2,2,7,4,2, ,1
100200,48,1,2,4, ,2,2,3,3,3,9,2,1,2,2,1,1,2,53,4,3,2,2,1,1,4,2,1, ,1.904761905
100203,39,3,2,1, ,2,1,3,2,1,1,1,2,2,2,3,2,1,49,4,6,4,2,1,1,99,4,3,2,1
100212,12,1,2,4, ,3,3,3,3,4,2,2,1,1,1,2,1,2,30,2,5,3,2,1,1,7,4,1, ,3
100219,26,1,2,1, ,1,2,3,1,3,2,2,1,2,2,3,1,2,69,6,5,3,2,1,1,4,2,1, ,1
100222,39,5,2,9, ,2,3,3,3,4,9,2,1,2,2,2,1,1,23,1,5,3,2,1,1,5,2,2, ,2.285714286
100225,25,3,2,2, ,1,2,3,1,3,2,1,1,2,1,2,1,2,24,1,6,4,2,1,1,4,2,3,2,1.761904762
100226,24,2,2,4, ,2,9,2,2,2,9,2,9,2,2,3,1,1,73,6,5,3,2,1,1,3,1,1, ,2.095238095
100234,36,4,2,4, ,1,1,3,1,2,2,2,1,2,2,2,1,1,80,6,6,4,2,1,1,5,2,2, ,2.80952381
100235,12,2,3,2, ,2,3,3,2,2,1,1,2,2,2,2,2,2,62,5,6,4,2,1,1,99,4,3,9,1.476190476
100236,34,3,2,4, ,1,1,1,2,2,1,1,2,2,1,9,1,2,47,4,5,3,2,1,1,8,4,5,1,2.619047619
100241,26,2,2,2, ,2,3,3,3,3,1,1,2,2,9,2,9,1,18,1,5,3,2,3,4,2,1,3,2,1.380952381
100250,21,1,1,2, ,3,3,3,3,4,2,2,2,2,1,2,1,2,51,4,3,2,2,1,1,1,1,2, ,3
100253,45,3,3,8,THE LADY WHO DROWNED HER KIDSIN SOUTH CAROLINA,1,1,3,1,1,1,1,2,2,2,3,2,2,44,3,6,4,2,2,2,5,2,3,9,2.857142857
100256,51,2,2,1, ,2,3,3,2,3,9,2,1,2,2,2,1,2,63,5,3,2,2,1,1,2,1,4,9,5.238095238
100269,39,5,1,5, ,1,1,3,1,2,2,1,1,2,2,4,2,2,55,5,6,4,2,1,1,2,1,2, ,1.333333333
100283,9,4,2,4, ,1,2,1,3,2,1,1,2,2,1,1,1,2,77,6,3,2,2,1,1,5,2,1, ,2.142857143
100292,13,2,1,8,MOSQUE STORY AND THE TROOPS. BOTH EQUALLY.,2,2,3,1,2,2,2,1,2,1,2,1,2,55,5,3,2,2,1,1,7,4,4,9,1.476190476
100294,51,1,3,1, ,2,2,3,2,3,9,2,9,2,9,9,1,2,99,9,7,4,2,1,1,9,4,1, ,1.380952381
100303,39,5,2,6, ,2,2,3,3,3,2,2,2,1,2,3,1,2,56,5,3,2,2,2,2,3,1,2, ,2.238095238
100304,42,4,1,2, ,1,1,3,1,4,2,2,1,2,1,3,1,2,76,6,3,2,2,1,1,3,1,2, ,2.142857143
100306,36,5,1,4, ,1,3,2,1,2,2,1,2,1,2,2,1,2,40,3,4,2,2,1,1,6,3,1, ,8.619047619
100308,18,3,3,4, ,2,2,3,2,4,9,1,2,2,2,3,1,2,74,6,4,2,2,1,1,2,1,3,9,1.333333333
100314,50,1,2,4, ,1,3,1,2,3,2,1,1,2,2,2,1,1,28,2,3,2,2,1,1,6,3,4,9,3
100319,37,1,1,1, ,2,2,2,2,4,2,2,2,2,1,2,1,2,74,6,3,2,2,1,1,4,2,2, ,1.333333333
100325,34,5,2,9, ,2,3,3,1,4,1,1,9,2,2,9,9,2,94,6,1,1,2,1,1,2,1,2, ,4.904761905
100326,45,1,4,2, ,3,1,3,1,4,2,2,2,2,2,2,1,2,50,4,3,2,2,1,1,5,2,3,1,1.904761905
100362,12,5,1,2, ,1,3,3,3,3,2,1,1,2,2,3,1,2,75,6,6,4,2,9,9,5,2,1, ,1.095238095
100366,47,3,1,8,BUSH TAXES CUTS,1,1,2,3,2,1,1,2,2,1,2,2,2,23,1,6,4,2,1,1,8,4,1, ,1.666666667
100369,34,3,1,2, ,2,3,3,1,2,9,2,9,2,2,3,1,2,52,4,6,4,2,1,1,99,9,2, ,1.904761905
100371,25,4,1,1, ,2,2,3,2,2,1,2,2,1,2,3,1,2,47,4,5,3,2,1,1,99,3,1, ,3.047619048
100372,42,2,3,8,"MARCELLUS SHALE DEPOSIT BEING FRACTURED IN NEW YORK AND PENNSYLVANIA THIS IS DRIVING THE GAS UP AND IT IS PIPED TO OTHER PLACE, NATURAL GAS",2,2,3,3,2,9,2,2,2,2,3,1,2,65,6,7,4,2,1,1,99,2,4,2,1
100384,34,5,4,9, ,3,3,3,3,3,9,2,9,2,9,9,9,2,70,6,3,2,2,2,2,4,2,4,9,1.952380952
100385,42,4,1,1, ,1,2,2,1,3,1,1,2,2,2,2,2,1,67,6,5,3,2,1,1,6,3,2, ,3.047619048
100387,39,4,2,6, ,1,3,1,1,2,2,2,9,2,2,9,1,2,87,6,2,1,2,1,1,3,1,1, ,2.428571429
100399,39,5,1,4, ,2,2,3,1,3,2,2,1,2,2,2,1,2,81,6,3,2,2,1,1,3,1,1, ,1.333333333
100401,37,2,2,2, ,2,3,2,3,2,2,1,2,2,1,3,2,1,50,4,3,2,2,1,1,6,3,2, ,3.19047619
100410,47,2,1,1, ,1,2,1,1,2,2,1,1,2,2,2,1,1,72,6,3,2,2,1,1,2,1,3,1,2.904761905
100411,42,3,2,3, ,1,2,3,2,2,2,1,1,2,2,1,1,1,54,4,6,4,2,1,1,8,4,3,1,1.904761905
100413,39,1,1,6, ,2,3,3,1,4,2,2,1,2,1,3,1,2,64,5,2,1,2,1,1,3,1,2, ,2.476190476
100425,42,1,2,6, ,3,3,3,1,4,9,2,9,1,1,2,2,2,31,2,4,2,2,1,1,5,2,2, ,3.714285714
100427,54,1,1,5, ,2,3,3,2,4,1,2,2,2,1,2,2,1,40,3,3,2,2,5,4,1,1,2, ,2.523809524
100429,24,3,2,9, ,2,3,3,2,2,2,2,2,2,2,3,1,2,61,5,3,2,2,1,1,5,2,3,9,2.666666667
100437,37,3,4,2, ,3,3,3,3,4,2,2,1,2,2,1,2,1,60,5,3,2,2,1,1,1,1,3,9,3.238095238
100438,42,2,2,1, ,2,2,2,2,1,2,1,2,2,1,2,9,1,68,6,7,4,2,1,1,7,4,1, ,2.095238095
100443,42,2,2,1, ,2,2,1,2,3,2,1,1,2,2,2,1,1,48,4,7,4,2,1,1,9,4,1, ,1.619047619
100445,42,2,4,4, ,1,3,1,2,1,2,1,1,2,2,3,1,1,81,6,6,4,2,1,1,7,4,1, ,2.095238095
100450,37,3,2,9, ,1,3,3,1,2,9,1,2,1,2,2,2,1,41,3,6,4,2,1,1,99,4,2, ,2.238095238
100456,26,3,2,2, ,1,2,3,1,3,1,2,2,2,1,2,2,2,99,9,3,2,2,1,1,99,2,3,2,2.666666667
100460,37,3,2,1, ,1,2,2,1,1,2,1,1,2,1,2,1,1,68,6,5,3,2,1,1,6,3,3,1,2.428571429
100461,37,1,2,9, ,2,1,2,2,3,2,1,1,2,1,3,1,2,85,6,3,2,2,1,1,3,1,1, ,1
100476,42,3,1,6, ,2,2,2,3,3,2,1,2,2,2,2,2,2,69,6,7,4,2,2,2,6,3,3,9,1.285714286
100493,42,3,2,4, ,1,2,3,1,2,2,2,1,2,2,2,1,2,56,5,3,2,2,1,1,3,1,3,2,2.857142857
100494,13,2,3,3, ,3,2,2,3,4,9,2,9,2,1,2,1,1,62,5,3,2,2,2,2,6,3,2, ,2.666666667
100512,18,3,1,2, ,2,3,3,2,3,1,1,3,2,2,2,1,1,55,5,6,4,2,5,4,7,4,3,2,1.666666667
100536,36,5,4,2, ,3,2,3,3,3,2,2,2,2,2,3,1,2,64,5,5,3,2,1,1,5,2,2, ,4.047619048
100537,37,2,1,8,"CONGRESSIONAL VOTE FOR FIRE FIGHTER, POLICE AND TEACHERS",2,3,1,3,2,9,1,2,1,2,2,2,2,50,4,7,4,2,1,1,4,2,3,2,1.523809524
100546,45,2,2,8,"I TRY TO FOLLOW WHAT THE PRESIDENT SAYS, THEN IT TRY TO FOLLOW WHAT WHAT UP UNDER HIM SAYS.THEN SOCIAL SECURITY",1,3,3,3,2,9,2,9,2,1,3,9,2,67,6,2,1,2,1,1,1,1,1, ,5.142857143
100547,42,4,1,2, ,1,1,3,1,3,1,2,2,2,1,1,2,2,50,4,6,4,2,1,1,9,4,2, ,2.19047619
100554,13,4,1,6, ,3,2,3,2,4,2,2,1,2,1,2,1,2,70,6,4,2,2,1,1,3,1,2, ,1.285714286
100562,13,4,2,2, ,3,3,3,3,2,1,1,2,2,2,2,1,2,21,1,5,3,2,1,1,9,4,1, ,2.619047619
100566,36,5,3,4, ,2,2,2,2,2,2,1,1,2,1,2,1,1,70,6,5,3,2,1,1,5,2,3,1,2.571428571
100569,12,3,1,1, ,2,2,1,2,2,2,2,1,2,2,1,1,1,23,1,5,3,1,2,3,5,2,3,1,5.285714286
100574,51,1,2,4, ,2,2,2,3,4,9,1,1,2,1,2,1,1,68,6,6,4,2,1,1,3,1,2, ,1.761904762
100575,39,3,2,2, ,1,2,3,2,2,9,2,1,2,2,2,1,1,22,1,5,3,2,1,1,6,3,3,1,1.476190476
100593,45,2,1,4, ,2,2,3,1,2,2,1,1,1,2,2,1,1,40,3,6,4,2,1,1,5,2,3,1,1.952380952
100599,50,2,3,2, ,3,2,2,2,3,2,2,2,2,2,2,1,2,47,4,7,4,2,1,1,7,4,2, ,1.047619048
100601,26,4,4,9, ,3,3,3,3,4,9,2,9,2,9,9,9,2,53,4,2,1,2,1,1,2,1,9,9,6.238095238
100608,39,3,2,2, ,2,2,3,2,2,1,1,2,2,1,2,2,2,57,5,6,4,2,1,1,9,4,2, ,1.333333333
100609,13,4,1,2, ,2,2,3,1,3,9,2,9,2,1,1,1,2,83,6,2,1,2,1,1,2,1,3,1,6.952380952
100620,42,5,1,2, ,2,2,3,3,2,2,2,1,2,2,2,1,2,88,6,4,2,2,1,1,99,9,2, ,3.19047619
100625,50,1,1,1, ,2,1,2,2,3,1,2,2,1,2,9,9,1,43,3,1,1,2,1,1,9,4,9,9,8.619047619
100626,36,5,3,4, ,1,1,2,2,1,1,1,2,2,2,3,2,2,30,2,7,4,2,2,2,6,3,2, ,5.047619048
100636,18,2,4,2, ,3,3,3,3,4,2,2,1,2,2,3,1,2,49,4,3,2,2,1,1,2,1,4,1,2.619047619
100645,26,2,1,2, ,3,3,3,3,3,2,2,1,2,1,2,2,2,18,1,3,2,2,1,1,2,1,3,2,1.761904762
100649,25,3,3,2, ,2,2,3,3,4,9,2,1,1,1,2,1,1,50,4,5,3,2,1,1,99,9,3,9,2.238095238
100653,12,4,1,2, ,1,1,3,1,2,1,2,1,2,1,1,1,2,79,6,6,4,2,1,1,4,2,3,1,1.285714286
100655,45,2,2,2, ,3,2,3,2,4,9,2,9,2,2,2,1,2,70,6,4,2,2,1,1,2,1,1, ,1.476190476
100672,34,5,1,2, ,2,2,3,1,3,9,1,1,2,2,3,1,2,69,6,3,2,2,1,1,5,2,2, ,1.80952381
100675,13,1,4,4, ,1,2,1,1,4,2,2,2,2,1,1,1,2,61,5,3,2,2,2,2,4,2,2, ,2.19047619
100676,28,2,4,2, ,2,3,2,1,4,2,2,1,2,1,2,1,2,41,3,5,3,2,2,2,3,1,2, ,3.428571429
100680,9,4,2,4, ,1,2,2,2,2,1,1,2,2,1,2,2,2,59,5,7,4,2,2,2,7,4,2, ,1.476190476
100691,1,2,3,2, ,2,3,2,1,4,9,2,9,1,1,2,1,2,32,2,3,2,2,1,1,6,3,3,1,3.857142857
100701,42,2,1,1, ,1,2,3,1,4,9,2,3,2,1,2,9,2,69,6,3,2,2,1,1,4,2,3,1,1.571428571
100712,40,4,1,2, ,2,3,3,3,2,1,2,2,1,2,2,2,2,24,1,5,3,2,1,1,4,2,3,2,2.619047619
100715,48,1,1,6, ,1,1,3,3,1,9,2,2,1,2,3,9,2,48,4,5,3,2,1,1,4,2,4,9,1.904761905
100727,55,3,2,6, ,2,3,3,2,3,2,2,1,2,9,2,1,1,55,5,5,3,2,1,1,8,4,3,9,1.619047619
100752,22,1,3,3, ,3,3,1,2,2,2,9,1,2,2,3,1,1,59,5,3,2,2,1,1,8,4,3,1,2.238095238
100758,19,3,1,9, ,1,3,3,1,3,9,2,3,1,2,2,2,2,66,6,2,1,2,2,2,99,9,2, ,1.428571429
100759,48,4,2,2, ,2,2,3,1,3,9,1,2,1,2,2,2,2,38,3,6,4,2,1,1,99,9,1, ,3.095238095
100767,5,3,2,2, ,1,3,3,1,3,2,2,2,1,1,1,2,1,29,2,3,2,2,2,2,3,1,3,2,3.857142857
100772,1,2,2,5, ,2,2,3,2,2,1,1,2,1,1,2,2,2,48,4,6,4,2,1,1,9,4,2, ,1
100782,27,1,4,9, ,3,2,3,2,4,1,2,9,1,1,2,9,2,99,9,6,4,2,1,1,99,4,2, ,1.095238095
100788,29,2,3,2, ,2,2,3,2,3,9,2,2,2,1,2,1,1,25,2,6,4,2,1,1,99,3,3,1,1.619047619
100793,12,2,1,6, ,2,2,2,3,4,9,2,9,2,1,2,2,2,89,6,5,3,2,1,1,99,9,2, ,1
100798,29,3,2,2, ,1,3,3,1,4,1,2,9,2,2,3,9,2,77,6,3,2,2,1,1,2,1,2, ,1.333333333
100799,19,1,3,2, ,1,2,2,1,4,9,2,9,2,1,2,1,2,72,6,2,1,2,1,1,2,1,2, ,1
100802,55,1,2,3, ,1,2,1,1,2,9,2,1,2,1,2,1,2,61,5,5,3,2,1,1,6,3,3,1,1.333333333
100803,17,5,1,8,THE GOVERNMENT OF ILLINOIS,1,2,3,1,3,9,2,9,2,1,9,1,1,63,5,6,4,2,1,1,8,4,2, ,2.380952381
100807,48,4,2,1, ,2,1,3,1,2,1,1,2,1,2,2,2,2,51,4,7,4,2,1,1,9,4,3,2,2.047619048
100809,27,5,2,9, ,1,1,1,2,2,1,2,2,2,1,2,2,2,37,3,5,3,2,1,1,5,2,3,1,4.523809524
100824,48,1,1,4, ,2,2,1,1,2,2,1,1,2,1,2,1,1,66,6,5,3,2,1,1,5,2,3,1,1.857142857
100827,30,1,3,2, ,3,3,3,2,4,2,2,1,2,1,3,1,1,75,6,4,2,2,1,1,3,1,4,9,3.523809524
100836,32,2,1,1, ,1,1,3,1,1,9,2,2,2,2,2,1,2,64,5,6,4,1,1,3,6,3,1, ,3
