"","Source","Target"
"1","KATY PERRY","MAISIE KIRN"
"2","KATY PERRY","LONELYDOT."
"3","KATY PERRY","DUKE DUMONT"
"4","KATY PERRY","EZRA KOENIG"
"5","KATY PERRY","CHRIS ROCK"
"6","KATY PERRY","ARCHITECH & DESIGN"
"7","KATY PERRY","BILLBOARD"
"8","KATY PERRY","PETRA COLLINS"
"9","KATY PERRY","CHILDHOOD RUINER"
"10","KATY PERRY","FUCKJERRY"
"11","KATY PERRY","CHARLI XCX"
"12","KATY PERRY","SORTED ITEMS "
"13","KATY PERRY","VICE NEWS"
"14","KATY PERRY","AL JAZEERA AMERICA "
"15","KATY PERRY","CHILDISH GAMBINO"
"16","KATY PERRY","KATY PERRY LATELY!"
"17","KATY PERRY","BEST VINES"
"18","KATY PERRY","TINA"
"19","KATY PERRY","MAGGIE MCGUANE"
"20","KATY PERRY","NO"
"21","KATY PERRY","JODY HIGHROLLER"
"22","KATY PERRY","NORMAL GUY"
"23","KATY PERRY","WORLD STAR FANS"
"24","KATY PERRY","ANNA KENDRICK"
"25","KATY PERRY","SAM SMITH"
"26","KATY PERRY","TAYLOR SPLIFF"
"27","KATY PERRY","BABY ANIMALS"
"28","KATY PERRY","JENNY SLATE"
"29","KATY PERRY","NICOLE RICHIE"
"30","KATY PERRY","HISTORY IN PICTURES"
"31","KATY PERRY","CAT FRAZIER"
"32","KATY PERRY","ALLIE X"
"33","KATY PERRY","KEOUGH NOVAK"
"34","KATY PERRY","SO SAD TODAY"
"35","KATY PERRY","JOHN MAYER"
"36","KATY PERRY","SARAH HUDSON"
"37","KATY PERRY","AYA"
"38","KATY PERRY","FACES IN THINGS"
"39","KATY PERRY","MINDY KALING"
"40","KATY PERRY","YAO XIAO"
"41","KATY PERRY","ELLIE GOULDING"
"42","KATY PERRY","LORDE"
"43","KATY PERRY","RICKY VAN VEEN"
"44","KATY PERRY","INTENSELYSCORPIO "
"45","KATY PERRY","IGGY AZALEA"
"46","KATY PERRY","RYAN SEACREST"
"47","KATY PERRY","ARIANA GRANDE"
"48","KATY PERRY","VOGUE MAGAZINE"
"49","KATY PERRY","BRITNEY SPEARS"
"50","KATY PERRY","SIA"
"51","KATY PERRY","ZOSIA MAMET"
"52","KATY PERRY","PIXEL DUST (GRIMES)"
"53","KATY PERRY","CHARLOTTE OLYMPIA"
"54","KATY PERRY","KACEY MUSGRAVES"
"55","KATY PERRY","DIABLO CODY"
"56","KATY PERRY","SARAH SCHECHTER"
"57","KATY PERRY","COACHELLA"
"58","KATY PERRY","DALAI LAMA"
"59","KATY PERRY","LENA DUNHAM"
"60","KATY PERRY","SOPHIA RIVKA ROSSI"
"61","KATY PERRY","ELLEN DEGENERES"
"62","KATY PERRY","DRIZZY"
"63","KATY PERRY","BEN SCHWARTZ"
"64","KATY PERRY","RASHIDA JONES"
"65","KATY PERRY","RONAN FARROW"
"66","KATY PERRY","_______________"
"67","KATY PERRY","JOCANDRAW"
"68","KATY PERRY","THE FAFSTER"
"69","KATY PERRY","STEVE MARTIN"
"70","KATY PERRY","BRYANBADASS"
